"","Site","Health_Board","Latitude_dd","Longitude_dd","Population","Population_band"
"62","Guardbridge","Fife",56.3672927606303,-2.8900051823534,4599,"4k - 10k"
"63","Haddington","Fife",55.9605510460223,-2.75145958249074,4599,"4k - 10k"
"64","Hamilton","Lanarkshire",55.7940127637112,-4.05613222475841,51156,"10k - 100k"
"65","Harthill","Lanarkshire",55.8637263322699,-3.74707888123895,3705,"2k - 4k"
"66","Hatton","Tayside",56.5263264985016,-2.64644688655778,194131,"100k +"
"67","Hatton - Fintry East","Tayside",56.5263264985016,-2.64644688655778,194131,"100k +"
"68","Hatton - Fintry North","Tayside",56.5263264985016,-2.64644688655778,194131,"100k +"
"69","Hatton - Fintry West","Tayside",56.5263264985016,-2.64644688655778,194131,"100k +"
"70","Hawick","Borders",55.4310286181503,-2.77223125610452,14679,"10k - 100k"
"71","Helensburgh","Highland",55.9823163725406,-4.69345867325065,12814,"10k - 100k"
"72","Huntly","Grampian",57.4508140601178,-2.77616404509057,5191,"4k - 10k"
"73","Inverclyde","Greater Glasgow and Clyde",55.9366219224013,-4.87853552735278,75134,"10k - 100k"
"74","Inverclyde - Gourock","Greater Glasgow and Clyde",55.9366219224013,-4.87853552735278,75134,"10k - 100k"
"75","Inverurie","Grampian",57.2730583187437,-2.36445060793797,10938,"10k - 100k"
"76","Ironmill Bay","Fife",56.0422698314311,-3.509410874862,17128,"10k - 100k"
"77","Jedburgh","Fife",55.4952652800768,-2.54303476730876,17128,"10k - 100k"
"78","Kelso","Borders",55.604842083054,-2.42064379913774,7070,"4k - 10k"
"79","Kincardine","Fife",56.064780706967,-3.71964396957788,3004,"2k - 4k"
"80","Kinneil","Forth Valley",56.0116423848277,-3.66794034934915,40416,"10k - 100k"
"81","Kirkcaldy","Fife",56.1170716358498,-3.14788609805312,51344,"10k - 100k"
"82","Kirkwall","Orkney",59.0075645912078,-2.91522968615766,7757,"4k - 10k"
"83","Lanark","Lanarkshire",55.673531082359,-3.7947853256949,10509,"10k - 100k"
"84","Langholm","Dumfries and Galloway",55.1459447087774,-2.99377025961401,2207,"2k - 4k"
"85","Largs","Ayrshire and Arran",55.8208147555392,-4.88382394218081,12865,"10k - 100k"
"86","Lerwick","Shetland",60.1845545241091,-1.15675365103016,7843,"4k - 10k"
"87","Lesmahagow","Lanarkshire",55.6461237515284,-3.88335293885114,4361,"4k - 10k"
"88","Levenmouth","Fife",56.1924949082976,-3.01013038636152,116205,"100k +"
"89","Linlithgow","Lothian",55.9829403066899,-3.62531876842913,12531,"10k - 100k"
"90","Loch Ryan","Dumfries and Galloway",54.9221422494004,-5.07869120356409,11116,"10k - 100k"
"91","Lockerbie","Dumfries and Galloway",55.1196143867988,-3.37237494154506,4128,"4k - 10k"
"92","Lossiemouth","Grampian",57.7016943068663,-3.25833865562436,37651,"10k - 100k"
"93","Mauldslie","Lanarkshire",55.7304125178971,-3.89835942271324,17044,"10k - 100k"
"94","Maybole","Ayrshire and Arran",55.3439368806738,-4.66608252667129,4484,"4k - 10k"
"95","Meadowhead","Ayrshire and Arran",55.5879323781336,-4.63758630212848,190898,"100k +"
"96","Meadowhead - Kilmarnock HMP","Ayrshire and Arran",55.5879323781336,-4.63758630212848,190898,"100k +"
"97","Montrose","Tayside",56.7334753482173,-2.4530787451344,14789,"10k - 100k"
"98","Muirkirk","Ayrshire and Arran",55.5130625683097,-4.09669642705676,1604,"0 - 2k"
"99","Nairn","Highland",57.5927640050881,-3.84801261188444,9729,"4k - 10k"
"100","Neilston","Greater Glasgow and Clyde",55.7897940278819,-4.42763907362904,5502,"4k - 10k"
"101","Newbridge","Lothian",55.943115544099,-3.40096208908946,24821,"10k - 100k"
"102","Newburgh","Fife",56.3550377840742,-3.2258408494857,2327,"2k - 4k"
"103","New Cumnock","Ayrshire and Arran",55.4003969414987,-4.17781532667854,3471,"2k - 4k"
"104","Newport & Tayport","Fife",56.4501861057684,-2.9153238719715,7810,"4k - 10k"
"105","Newtown St Boswell","Borders",55.5780581905803,-2.66529074919015,1463,"0 - 2k"
"106","Nigg","Grampian",57.1321800833327,-2.06148567537157,218123,"100k +"
"107","Nigg - Aberdeen RI","Grampian",57.1321800833327,-2.06148567537157,218123,"100k +"
"108","Nigg - Torry","Grampian",57.1321800833327,-2.06148567537157,218123,"100k +"
"109","Oban","Grampian",56.4151429316321,-5.47102505531149,218123,"100k +"
"110","Paisley","Greater Glasgow and Clyde",55.8590966579125,-4.42142030240103,82387,"10k - 100k"
"111","Paisley - Airport","Greater Glasgow and Clyde",55.8590966579125,-4.42142030240103,82387,"10k - 100k"
"112","Paisley - Blackhall","Greater Glasgow and Clyde",55.8590966579125,-4.42142030240103,82387,"10k - 100k"
"113","Paisley - Brediland","Greater Glasgow and Clyde",55.8590966579125,-4.42142030240103,82387,"10k - 100k"
"114","Peebles","Borders",55.6474639667491,-3.1617011794559,8352,"4k - 10k"
"115","Penicuik","Lothian",55.8354080061792,-3.20444102005621,12402,"10k - 100k"
"116","Persley","Grampian",57.1787308615722,-2.15680345894478,38352,"10k - 100k"
"117","Persley - Northfield","Grampian",57.1787308615722,-2.15680345894478,38352,"10k - 100k"
"118","Perth","Tayside",56.3833560221297,-3.38359679652948,50990,"10k - 100k"
"119","Peterhead","Grampian",57.4875322469158,-1.79030502329802,22492,"10k - 100k"
"120","Philipshill","Lanarkshire",55.7774390811626,-4.22917340212711,43889,"10k - 100k"
"121","Philipshill - Hairmyres Hospital","Lanarkshire",55.7774390811626,-4.22917340212711,43889,"10k - 100k"
"122","Philipshill - Stewartfield (3606)","Lanarkshire",55.7774390811626,-4.22917340212711,43889,"10k - 100k"
"123","Philipshill - Stewartfield (7801)","Lanarkshire",55.7774390811626,-4.22917340212711,43889,"10k - 100k"
"124","Sanquhar","Dumfries and Galloway",55.3606878798468,-3.92275642373636,1784,"0 - 2k"
"125","Seafield","Lothian",55.9712021918324,-3.14543306383502,605569,"100k +"
"126","Seafield - Cockenzie","Lothian",55.9712021918324,-3.14543306383502,605569,"100k +"
"127","Seafield - Craigmillar","Lothian",55.9712021918324,-3.14543306383502,605569,"100k +"
"128","Seafield - Muirhouse","Lothian",55.9712021918324,-3.14543306383502,605569,"100k +"
"129","Seafield - Restalrig","Lothian",55.9712021918324,-3.14543306383502,605569,"100k +"
"130","Seafield - Tranent","Lothian",55.9712021918324,-3.14543306383502,605569,"100k +"
"131","Seafield - Western General","Lothian",55.9712021918324,-3.14543306383502,605569,"100k +"
"132","Selkirk","Borders",55.5588232441839,-2.83473194586627,5621,"4k - 10k"
"133","Shieldhall","Greater Glasgow and Clyde",55.8637148184202,-4.34491168360078,376856,"100k +"
"134","Shieldhall - Barrhead","Greater Glasgow and Clyde",55.8637148184202,-4.34491168360078,376856,"100k +"
"135","Shieldhall - Gorbals","Greater Glasgow and Clyde",55.8637148184202,-4.34491168360078,376856,"100k +"
"136","Shieldhall - Govanhill","Greater Glasgow and Clyde",55.8637148184202,-4.34491168360078,376856,"100k +"
"137","Shieldhall - IMAX","Greater Glasgow and Clyde",55.8637148184202,-4.34491168360078,376856,"100k +"
"138","Shieldhall - Pollockshields West","Greater Glasgow and Clyde",55.8637148184202,-4.34491168360078,376856,"100k +"
"139","Shieldhall - Science Centre","Greater Glasgow and Clyde",55.8637148184202,-4.34491168360078,376856,"100k +"
"140","Shotts","Lanarkshire",55.8148629730862,-3.81122405591491,8248,"4k - 10k"
"141","Skellyton","Lanarkshire",55.7451404115579,-3.95936920791938,14740,"10k - 100k"
"142","Springfield","Fife",56.2926726539988,-3.05408233288403,2453,"2k - 4k"
"143","St Andrews","Fife",56.3295995077312,-2.75704928705797,15876,"10k - 100k"
"144","St Andrews - University (2979)","Fife",56.3295995077312,-2.75704928705797,15876,"10k - 100k"
"145","St Andrews - University (4964)","Fife",56.3295995077312,-2.75704928705797,15876,"10k - 100k"
"146","Stevenston","Ayrshire and Arran",55.6256319344673,-4.73979157201639,69291,"10k - 100k"
"147","Stevenston - Stevenston East","Ayrshire and Arran",55.6256319344673,-4.73979157201639,69291,"10k - 100k"
"148","Stevenston - Stevenston West","Ayrshire and Arran",55.6256319344673,-4.73979157201639,69291,"10k - 100k"
"149","Stirling","Forth Valley",56.1192863807364,-3.91954797054321,48428,"10k - 100k"
"150","Stirling - University","Forth Valley",56.1192863807364,-3.91954797054321,48428,"10k - 100k"
"151","Stonehouse","Lanarkshire",55.7016309363525,-3.96889526779904,5042,"4k - 10k"
"152","Stornoway","Western Isles",58.1914654524505,-6.34939015751881,7247,"4k - 10k"
"153","Strathaven","Lanarkshire",55.6750794860395,-4.05862601936173,6957,"4k - 10k"
"154","Swinstie","Lanarkshire",55.7970397639352,-3.9057350372813,10508,"10k - 100k"
"155","Thurso","Highland",58.6048773791166,-3.49659793241723,7831,"4k - 10k"
"156","Tillicoultry","Forth Valley",56.1489709119989,-3.74542311705907,6253,"4k - 10k"
"157","Troqueer","Dumfries and Galloway",55.0547304189749,-3.61168143926794,24294,"10k - 100k"
"158","Turriff","Grampian",57.541917454448,-2.47646593060706,5501,"4k - 10k"
"159","Uplawmoor","Greater Glasgow and Clyde",55.7644938517079,-4.50196487477196,620,"0 - 2k"
"160","Whitburn","Lothian",55.8707039858612,-3.68176348307214,12675,"10k - 100k"
"161","Wick","Highland",58.4425401244221,-3.06013285655809,6851,"4k - 10k"
"162","Winchburgh","Lothian",55.9551843618815,-3.45552278262022,3860,"2k - 4k"
