,2020-11-47,2021-06-23,2021-10-43,2021-11-47,2022-01-05,2021-04-16,2020-07-27,2021-07-30,2020-10-42,2020-06-27,2021-08-34,2021-12-50,2021-07-27,2020-11-49,2021-05-19,2021-01-03,2020-07-29,2021-08-33,2020-09-40,2020-08-36,2022-01-01,2021-02-07,2021-03-10,2020-12-53,2020-06-23,2020-11-46,2021-06-24,2020-09-37,2021-10-42,2021-11-44,2021-04-15,2020-09-39,2020-07-31,2020-10-43,2020-06-26,2020-08-32,2021-12-51,2021-07-26,2021-10-41,2020-11-48,2021-09-38,2021-01-02,2020-10-40,2020-06-25,2021-05-22,2021-08-32,2020-12-49,2022-01-02,2021-07-29,2021-09-35,2021-03-11,2020-12-52,2021-12-49,2020-11-45,2021-06-25,2020-09-36,2021-05-21,2021-08-31,2020-08-34,2021-11-45,2021-04-14,2020-09-38,2020-07-30,2021-09-36,2021-03-12,2020-12-51,2020-10-44,2020-08-33,2021-06-22,2021-02-08,2021-12-52,2021-10-40,2022-02-05,2022-01-04,2021-11-46,2021-04-17,2021-03-09,2021-09-39,2021-01-01,2020-05-22,2020-10-41,2020-06-24,2021-08-35,2022-01-03,2021-07-28,2021-02-05,2021-05-18,2021-01-04,2021-12-48,2021-11-48,2021-06-26,2020-07-28,2021-10-39,2021-05-20,2020-08-35,2021-04-13,2021-02-06,2021-09-37,2021-03-13,2020-12-50
Blackridge,,10.74,59.28,62.18,,,,168.385,,,,110.1,772.565,,23.725,9.75,,,,,15.41,193.73,0.605,,,,15.065,,43.94,19.87,270.72,,,,,,NA,39.61,,,,3.44,,,,,,32.2,60.58,100.81,2.715,0.85,117.85,,21.99,,28.11,,,1.5,87.645,,,244.37,5.785,2.12,,,11.06,181.185,,,325.43,18.18,61.985,5.94,14.6,,4.32,,,,75.91,8.03,3070.11,109.48,11.45,36.14,,60.5,43.23,,NA,17.58,,18.085,139.605,689.42,,
Blackwood,,36.55,,,,,,155.67,,,,172.64,479.79,,0,,,141.66,,,44.99,83.12,0.84,,,,23.9,,38.48,15.3,,,,,,,,,,,,376.18,,,,,,,373.24,,1.43,,16.75,,11.51,,12.41,,,53.61,0,,,NA,5.89,,,,23.03,158.6,,26.26,,,38.84,0.37,1.94,,88.03,,,,323.59,,758.99,73.31,NA,24.05,,,10.43,,,NA,,4.31,6.21,68.8,,
Blairgowrie,,0.75,301.65,292.02,,,,52.46,,,21.03,29.65,40.66,,1.34,,,19.93,,,63.12,1.24,,,,,3.75,,723.84,147.64,,,,,,,NA,,,,136.74,,,,,15.69,,,15.99,,59.43,,18.73,,7.77,,NA,36.33,,62.87,3.2,,,,40.38,,,,2.59,3.37,,5.87,,,,0.49,0.74,,,,,,65.08,115.16,141.72,,0,,,,11.16,,,0.61,,,,65.26,15.16,
Boness,,2.625,172.95,43.91,,,,38.58,,,,115.87,61.44,,1.455,,,,,,163.58,19.77,2.06,,,,0.095,,22.025,28.145,2.85,,,,,,,108,,,17.24,,,,,,,58.53,38.525,206.5,12.595,,107.81,,23.685,,1.195,51.93,,23.91,6.315,,,339.33,5.725,,,,3.535,50.27,,13.31,29.63,,42.655,0.435,1.4,,,,,,147.34,38.4,200.15,,0.225,,,,13.98,,36.86,1.195,,,,32.93,2.71,
Bonnybridge,,6.745,84.31,284.425,,,,42.4,,,109.325,116.78,117.915,,9.15,,,,,,,80.505,7.695,,,,4.66,,91.91,40.02,2.025,,,,,,,128.82,,,,,,,,,,88.75,66.84,127.02,15.34,,92.65,,13.79,,17.71,58.72,,55.965,6.275,,,254.305,21.82,,,,16.935,51.815,,131.36,165.88,37.87,52.2,0.85,48.555,192.75,,,,,66.9,66.15,34.33,,2.095,,,247.83,61.92,,,2.625,,,,168.77,33.335,
Bothwellbank,,3.96,71.1,45.29,,,,81.65,,,,121.79,69.99,,,44.71,,,,,182.94,30.42,5.34,,,,8.95,,54.06,32.74,3.53,,,,,,238,,,,166.21,70.99,,,4.12,,,,28.11,,9.47,,15.97,,5.67,,3.78,,,43.43,3.77,,,442.94,3.77,,,,,19.28,,60.88,,,32.43,0.97,11.67,,38.31,,,,451.2,,267.17,1.86,4.94,35.67,,,12.07,,,1.59,,,13.97,302.2,3.98,
Bowhouse,,3.65,157.975,50.6,,,,,,,98.52,75.68,12.87,,NA,,,,,,122.78,0.59,3.09,,,,12.475,,78.35,143.59,NA,,,,,,,,,,32.555,,,,1.31,,,71.585,,59.52,0.665,,34.25,,36.935,,0.415,,,107.86,0,,,234.46,0.475,,,,0.69,0.33,,105.82,,48.64,68.81,0.11,2.63,77.91,,,,,463.36,31.23,44.67,7.56,0,23.39,74.56,,18.76,,,0.375,,0.55,6.67,177.74,0.54,
Buckie,,2.37,188.455,39.5,,,,24.475,,,22.09,17.31,59.7,,,,,,,,30.11,,,,,,NA,,NA,71.835,,,,,,,,36.53,256.02,,,,,,,,,NA,25.195,NA,,,23.28,,15.29,,,,,39.25,,,,32.92,,,,,,,,43.83,,NA,NA,,,,,,,,11.24,NA,47.3,,,,,NA,4.6,,,,,,,23.11,,
Carbarns,39.0566666666667,10.725,128.685,77.27,74.03,,,101.33,28.505,,154.495,164.68,64.9,60.12,3.27,25.09,,39.085,18.9766666666667,,90.94,18.54,20.075,NA,,56.42,9.885,1.395,84.2,86.7666666666667,19.95,20.6,,58.46,,0,309.07,68.59,76.23,36.3566666666667,157.595,57.2,20.27,0,5.78,84.725,11.055,126.773333333333,100.035,101.69,23.4,,60.37,63.3233333333333,19.515,3.84333333333333,2.385,142.445,0,82.6866666666667,11.985,6.5525,,1233.16,14.55,55.61,76.5925,0,4.66,26.79,360.14,109.475,,76.3766666666667,64.24,4.67,10.08,171.13,49.2,0,64.4033333333333,,403.23,94.1966666666667,135.75,103.13,2.78,67.28,99.48,,,,,2.86,5.4075,9.55,41.7,336.42,30.14,37.45
Coldstream,,0,28.73,65.05,9.7,,,51.89,,,84,453.04,51.09,,0.435,,,NA,,,,2.325,2.255,,,,1.69,,29.865,7.63,0,,,,,,,,,,,,,,,116.96,,,50.265,345.65,0.555,,15.13,,1.45,,0.325,91.605,,91.13,0,,,208.07,0.35,,,,0.44,50.29,,19.72,,,270.48,0.2,38.085,6.33,,,,,322.66,11.56,35.32,,0,,,,97.14,,78.1,0,,0,10.21,41.43,0,
Cumnock,,11.91,142.05,,,,,67.65,,,,23.83,272.39,,0.6,,,,,,210.82,119.42,7.22,,,,9.9,,53.13,573.18,1,,,,,,,,,,,,,,,,,,16.28,,11.56,,115.31,,10.69,,0.62,,,,2.7,,,61.94,17.84,,,,12.44,53.98,,,,35.58,142.59,0.46,19.91,96.36,,,,,119.66,,25.2,,1.22,,,28.52,69.87,,,0,,,,230.02,25.31,
Cumnock - Netherwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.578,,,,,,,,,,0,,,,9.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Cupar,,0.235,60.92,68.79,,,,18.5,,,,59.77,NA,,1.515,,,129.18,,,152.85,0.325,4.28,,,,7.2,,40.665,39.485,1.61,,,,,,,,NA,,16.91,,,,5.01,58.96,,,4.21,51.44,15.03,,20.7,,33.145,,0,,,52.195,0.44,,,150.35,0.505,,,,0,7.985,176.23,69.5,NA,26.31,81.59,0,4.49,50.545,,,,,76.85,56.84,20.84,12.015,0,1.38,93.26,,64.46,,,0.07,,0.43,0.72,73.15,0.86,
Dalbeattie,,0,120.93,120.34,,,,,14.77,,452.39,102.77,6.19,,0,NA,,469.97,23.39,,NA,NA,0.67,,,5.2,6.04,,191.46,NA,0,2.6,,2.86,,,395.85,,123.143333333333,0,21.54,2.13,,,,22.79,1,NA,38.41,173.29,4.2,,NA,,,,0,25.91,0,134.21,0,0,,NA,36.74,0,0.7,,0,3.53,,83.08,,,47.7,0,31.25,139.68,0.44,,6.29,,,288.41,7.93,NA,NA,NA,,64.68,1.28,,,0,0,,3.88,41.8,0.87,0
Daldowie,,5.81,40.56,,52.47,,,70.44,,,110.01,,131.72,,2.17,89.45,,59.71,,,139.52,103.92,19.28,,,,20.83,,58.19,24.6175,17.74,,,,,,,,58.6566666666667,,83.75,1034.92,,,,42.23,,92.45,117.7,,13.9,,,,25.02,,9.82,88.34,,13.91,5.94,,,,14.1,,,,6.16,16.22,,41.99,,43.17,,2.95,32.26,151.49,355.85,,,,76.85,35.705,,68.79,6.06,,,,22.8,,,6.59,,,36.55,188.45,10.04,
Dalmarnock,,26.8,83.4,,,,,121.42,,,126.43,,106.1,,17.95,,,150.12,,,,56.4,11.87,,,,19.805,,38.845,,10.76,,,,,,,110.96,60.2,,126.94,NA,,,,32.65,,80.27,84.79,,25.6,,,,33.455,,,,,,4.17,,,349.725,12.59,,,,,34.69,,91.585,9,NA,,6.52,39.04,119.94,,,,,388.455,17.05,179.01,NA,3.74,10.38,,,57.65,,100.15,,,NA,NA,131.32,,
Dalmuir,32.48,21.765,62.015,114.71,44.33,,,36.375,17.67,0,106.78,135.1325,104.045,,22.93,34.56,,118.54,22.96,,113.57,25.7466666666667,16.245,59.03,,27.15,13.84,8.67,47.225,40.215,12.0433333333333,11.49,,36.12,,,270.49,,77.42,21.87,118.24,95.2733333333333,,,,40.075,30.19,92.7025,47.54,197.24,18.1466666666667,,100.983333333333,13.95,42.09,4.98,12.73,37.92,0.93,84.57,10.61,1.46,,592.6,11.72,13.52,2.73,,22.31,22.445,151.985,93.97,27.1,60.15,113.095,3.415,9.6,95.65,43.62,0.32,63.08,0,287.93,66.7125,140.36,35.315,3.03,49.03,100.44,93.92,,,,6.65,6.43,,34.15,88.45,10.06,23.89
Dalmuir - Auchinairn (6298),,17.975,157.955,10.89,,0.29,,19.95,,,155.985,97.62,60.96,,0.52,,,171.705,,,288.56,,,,,,0.545,,148.36,97.11,1.375,,,,,,,203.85,,,46.73,,,,,4.685,,329.41,8.665,386.3,,,66.59,,11.585,,,30.035,,86.045,0.71,,,45.1,,,,,12.08,,,,,,70.36,0.175,,,,,,,98.29,,111.2,,0.135,,,,21.94,,,,,,,66.25,,
Dalmuir - Auchinairn (6330),,20.17,135.84,39.08,,3.27,,37.525,,,190.26,88.155,60.91,,1.07,,,279.995,,,54.48,,,,,,31.315,,NA,17.39,4.88,,,,,,,78.8,,,NA,,,,,11.175,,,43.865,130.64,,,5.82,,22.13,,,8.015,,84.85,3.0875,,,116.43,,,,,5.9,,,136.98,,,29.305,0.57,,,,,,,169.66,,89.57,,1.51,,,,18.93,,,,,,,436.92,,
Dalmuir - Clydebank,,3.465,,,,,,,,,,,51.7,,0,,,,,,,,,,,,3.05,,,,7.825,,,,,,,123.38,,,,,,,,11.11,,,38.5,,,,,,45.065,,,,,,2.045,,,,,,,,42.38,,,,,,,1.345,,,,,,,,,32.34,,0.09,,,,165.47,,,,,,,,,
Dalmuir - Minerva St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalmuir - SECC,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,NA,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Dalscone,2.74,,,,,,,,2.59,,,,,,,NA,,,,,,NA,1.51,,,,,0.46,,,NA,0.39,,,,,,,,3.41,,44.86,5.07,,,,1.55,,,,1.74,,,,,,,,0,,NA,0.22,,,4.93,2.97,1.81,0,,NA,,,,,,0,0.69,,NA,,4.81,,,,,NA,,NA,,,,,,,0,,NA,,NA,0
Denny,,0.95,24.79,114.785,,,,33.81,,,36.61,106.675,78.18,,3.7,,,,,,112.51,23.65,10.16,,,,21.115,,40.78,34.355,17.44,,,,,,,43.77,94.29,,87.06,,,,,,,,45.51,1.55,47.88,,139.77,,12.07,,4.36,NA,,25.28,121.515,,,1.565,41.065,,,,1.335,13.555,,148.895,,,139.305,7.945,13.35,48.71,,,,,4.97,21.69,51.53,,3.065,,,66.89,19.77,,,18.035,,,,14.96,67.395,
Dunbar,,16.45,,123.25,,,,17.6,,,74.62,73.3,158.76,,0,,,,,,,0.8,12.57,,,,4.39,,9.3,41.39,0,,,,,,,,14.27,,,,,,,,,161.18,52.02,,3.48,,140.13,,22.15,,3.23,,,113.78,1.1,,,,0.86,,,,NA,7.07,,33.3,,28.56,NA,0,17.99,28.43,,,,,165.61,44.04,268.06,,0,,,,62.24,,,0,,,,68.26,0.48,
Dunblane,,16.445,193.455,205.28,,,,51.97,,,44.77,110.665,125.08,,1.03,,,89.89,,,213.055,,,,,,10448.3,,159.305,51.59,0.765,,,,,,,191.32,,,97.085,,,,7.31,,,53.92,27.84,103.14,,,24.5,,58.055,,41.99,24.11,,42.12,2.075,,,96.91,,,,,1.85,,,157.98,17.85,,173.495,3.02,,145.32,,,,,74.65,,40.54,,2.11,,,,88.52,,,0.96,,,,127.4,0.31,
Dunfermline,5.87,5.32,108.955,48.025,75.68,,,76.995,12.89,,117.145,115.516666666667,126.67,25.1,6.82,23.9,,61.18,,0,85.63,18.86,9.345,,0,22.51,7.85,0.325,66.71,78.84,,3.12,0,5.04,,0.81,152.38,106.19,62.1366666666667,,64.18,28.46,3.05,,,23.445,,87.6066666666667,72.135,193.36,6.115,,111.52,16.08,34.96,0.17,4.81,48.785,1.19,75.89,5.67,1.46,,591.24,5.57,32.83,5.38,25.37,1.48,13.505,128.79,47.025,39.63,55.67,161.463333333333,5.21,13.09,72.53,41.99,0,9.21,0,86.1,59.52,147.02,19.19,1.405,3.18,NA,,72.45,,89.76,1.93,0.535,6.32,8.67,166.31,0.86,19.62
Dunnswood,,9.21,141.92,36.77,,,,81.24,,,,11.96,211.35,,,36.48,,,,,,,14.89,,,,,,38.21,54.35,8.3,,,,,,,84.11,,,59.9,61.95,,,,11.42,,41.78,61.9,341.96,14.7,,NA,,7.74,,2.18,,,68.6,4.47,,,719.15,3.45,,,,3.48,2.97,,,,,77.87,,19.71,,67.96,,,,,,,71.67,,,,,,,,0.56,,,,120.27,1.61,
Dunnswood - Carrickstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.76,,,,,,,,,,,,,,,,,,,,,,,,,,1.375,,,,,,,,,2.55,,,0.446666666666667,
Dunoon,,,,,,,,,,,,122.125,,,,,,,,,29.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.96,,,,,,,,,,,,,,,,,,,,8.64,18.08,,,,,,,,,,28.605,,,,,,35.1,,,,,,,,,,
Duns,,0.24,85.755,34.84,,,,2.9,,,8.95,50.93,9.585,,0.19,,,62.81,,,,2.085,0.715,,,,4.7,,13.48,73.885,0,,,,,,,17.05,,,19.52,,,,,,,17.43,15.535,7.24,0,,161.49,,0.21,,0,,,94.07,0,,,12.155,0,,,,0.335,2.155,,29.6,9.31,3.36,25.205,0,0.725,6.48,,,,,39.78,27.06,13.52,,1.39,,,,22.43,,NA,0,,0.18,0.49,42.32,NA,
East Calder,,4.75,87.39,27.23,69.12,,,52.41,,,,202.245,76.385,,1.53,16.38,,89.675,,,111.965,37.42,27.16,,,,4.435,,92.045,136.19,8.36,,,,,,118.18,,116.885,,66.42,17.22,,,5.12,18.2,,91.7166666666667,34.79,79.81,53,22.84,96.12,,15.72,,8.26,22.25,,56.7833333333333,18.83,,,154.015,20.59,102.32,,,4.11,31.175,273.72,261.26,44.23,53.21,42.5966666666667,0.605,18.86,173.555,37.64,,,,125.88,47.5433333333333,42.39,19.37,1.59,70.55,NA,122.54,18.485,,,0.965,,,46.44,140.23,27.3,
Ellon,,0,,151.12,,,,32.705,,,,32.32,11.2,,0.45,,,32.22,,,,,,,,,0.27,,44.09,70.65,4.1,,,,,,,9.21,,,53.895,,,,,,,33.84,10.05,115.68,,,82.09,,4.175,,2.14,23.91,,176.935,,,,216.93,,,,,0.075,,,121.33,,,72.26,0.71,,,,,,,130.22,28.99,18.91,,0.21,,,,1.06,,25.23,0,,,,,,
Erskine,,,,46.5166666666667,50.95,,,,,,,123.21,,,,,,,,,108.293333333333,,,,,,,,,25.07,,,,,,,236.25,,,,,,,,,,,59.0333333333333,,,,,75.5933333333333,,,,,,,46.9733333333333,,,,,,,,,,,162.32,,41.06,27.1966666666667,56.81,,,,,,,,,23.08,,,,,86.52,75.51,,,,,,,,,,
Eyemouth,,0,131.21,14.42,,,,,,,,33.26,,,7.485,,,,,,102.13,,,,,,,,22.65,45.14,0.115,,,,,,,,,,,,,,,3.6,,37.85,,56.32,,,31.985,,,,0,36.21,,55.915,0.12,,,7.495,0.935,,,,0,,,81.61,,,109.02,0.225,,,,,,,141.48,,,,3.275,,,,,,,0.505,,2.9,,28.515,0.67,
Fairlie,,1.365,9.68,245.835,,,,0.525,,,17.275,61.955,2.195,,0,,,4.055,,,,2.7,0.845,,,,0.255,,11.955,46.275,0,,,,,,,,,,,,,,,0,,,9.79,15.815,2.235,,,,1.665,,0.225,4.72,,23.805,0,,,30.44,0,,,,0.3,2.135,,0.02,,,9.12,0.23,0.89,9.15,,,,,,,5.53,,4.07,,,,3.22,,,0,,0,,108.56,0.89,
Falkirk,15.7,15.125,146.365,73.18,93.24,,,33.39,26.51,,85.45,197.07,119.37,,6.245,21.64,,41.71,,,118.53,85.67,30.035,,0,,13.87,1.86,51.67,48.17,7.295,3.32,,20.81,,,231.15,168.43,95.6033333333333,,71.44,96.03,,,,51.63,47.93,141.75,41.635,282.09,13.93,,101.663333333333,,19.14,2.3,5.33,15.2,0,50.8233333333333,8.21,,,244.53,24.26,25.92,4.56,,4.54,46.05,,82.63,25.08,42.1733333333333,82.815,2.425,4.92,139.31,31.62,,34.48,0,213.77,75.3933333333333,75.61,69.85,0.835,30.07,277.43,,60.53,,124.85,12.825,0,,243.34,153.1,23.35,3.64
Fauldhouse,,9.13,273.66,174.48,,,,50.28,,,389.78,108.29,315.46,,1.155,18.08,,94.23,,,63.29,4.47,10.14,2.57,,,36.925,,61.865,38.37,0.245,,,,,,,93.5,,,143.46,35.28,,,0.19,,,,113.13,548.1,16.815,2.2,42.87,,76.53,,0.83,7.71,,53.35,NA,,,330.17,2.26,33.27,,,28.57,18.49,,,,,80.405,1.485,23.68,,30.39,,,,NA,46.44,,18.205,5.05,2.64,,,131.19,,61.17,0,,2.08,,243.79,,
Forfar,,31.98,123.755,169.87,96.9,,,15.815,,,54.475,43.56,54.53,,0.82,,,17.48,,,177.5,,,,,,26.48,,152.64,30.61,6.965,,,,,,59.56,19.9,,,40.87,,,,0.33,5.4,,104.4,56.355,71.59,5.77,,48.46,,13.53,,2.41,19.035,,62.55,2.03,,,187.97,7.145,,,,4.81,,,30.43,,52.58,129.74,0.555,,,,,,,69.26,,113.105,,0.53,,,53.02,16.09,,,1.725,,,,148.79,16.68,
